Date,XLU_AUM,XLY_AUM,XLF_AUM,XLK_AUM,XLRE_AUM,XLE_AUM,XLP_AUM,XLI_AUM,XLB_AUM,XLC_AUM,XLV_AUM,Total_AUM,XLK_weight,XLF_weight,XLV_weight,XLY_weight,XLP_weight,XLE_weight,XLI_weight,XLU_weight,XLRE_weight,XLB_weight,XLC_weight
2019-10-03,11542459283.67,13601351592.52,21217606678.25,22242366210.07,3859877139.44,9732442812.03,14130644603.15,9213757097.2,3930349782.82,5800584400.23,16502886995.75,131774326595.12999,0.1687913479414587,0.16101472287117075,0.125235980499102,0.10321700701464763,0.10723366962493154,0.07385689658602805,0.06992072989686987,0.08759262583168896,0.02929157172853009,0.029826369706261544,0.04401907829931095
2019-10-04,11970507242.55,13823140722.12,21777655948.51,22299389401.43,3881149179.47,9903785680.61,14378173135.14,9356081458.13,3945085788.74,5902893748.35,16777828617.94,134015690922.99002,0.16639386961220823,0.16250079224696293,0.1251930165966992,0.10314568859002674,0.1072872365624872,0.07390019491300502,0.06981332852662993,0.08932168434984722,0.028960408686026475,0.029437491696453516,0.044046288219653354
2019-10-07,11358915663.47,13768641651.67,22366115681.65,22240968838.69,3868717455.1,9759309094.9,14244003640.04,9279231817.57,3480928536.34,5895900697.27,16705900302.46,132968633379.16002,0.1672647772145622,0.1682059528871973,0.1256379033002703,0.10354804213418305,0.10712303554646026,0.0733955734287449,0.06978511835276424,0.08542552762108982,0.029094962900523713,0.026178568944257203,0.044340537669946875
2019-10-08,11138685500.14,13618345075.23,21972956616.24,21799421133.52,3850175279.88,9591677811.03,14070509058.95,9027155570.34,3211377845.4,5803315784.52,16356761100.37,130440380775.62,0.167121722613021,0.16845210421485418,0.12539645317738268,0.10440283134910429,0.10786927311377378,0.07353304056609083,0.06920522246763652,0.08539292383161978,0.029516743641702238,0.02461950682989898,0.04449017819491578
2019-10-09,11079601381.75,13722084394.1,22142271216.15,22122065926.18,3862508474.36,9669689471.71,14744835114.17,9115112977.51,3286255094.96,6146692588.99,16472987884.18,132364104524.06,0.16713040144625346,0.16728305076188668,0.1244520781779299,0.10366922696633149,0.11139602513225036,0.07305371427154804,0.06886393414804641,0.08370548360969002,0.029180936087229804,0.024827388866311962,0.046437760532521924
2019-10-10,11169018508.58,13791847321.02,22360390875.87,22286898132.69,3926639004.82,9878991738.41,14167023066.6,9326437648.32,3295785292.67,5935239085.28,16691187978.6,132829458652.86002,0.1677858086505883,0.1683390951272882,0.12565878192894836,0.10383123940197615,0.10665573141892018,0.0743734999645524,0.07021362386708174,0.08408540260462406,0.02956150724879472,0.024812156325076138,0.04468315346214961
2019-10-11,11296705293.73,13877601750.54,22707233070.15,22655124516.73,3915801427.29,10019127814.7,14097491180.26,9398331934.13,3359113586.97,6036331671.0,16902539280.25,134265401525.75,0.16873389763322685,0.1691219987585194,0.12588901599499822,0.10335947751870012,0.10499719972577091,0.07462181396581523,0.06999816652190584,0.08413712814587955,0.029164634990042543,0.025018460070860282,0.04495820667428106
2019-10-14,11192203089.15,13888587525.61,22632945110.71,22587216445.8,3930916899.01,10161635133.52,13952472314.16,9747824061.5,3373711712.69,6056310837.31,16982229047.69,134506052177.15,0.16792713844616974,0.1682671132218012,0.12625624477717706,0.1032562275139721,0.10373118598250153,0.07554779111453445,0.07247126730521922,0.08320966163224691,0.029224832900699674,0.025082229818526553,0.04502630728715159
2019-10-15,11206529131.56,14004866674.59,22884663989.76,22860980214.55,3935679959.04,10290062958.3,13887963210.97,9786000170.25,3393613656.07,6124285703.04,17280259792.33,135654905460.45999,0.16852306326079305,0.1686976516778474,0.12738396546497735,0.10323892547086747,0.1023771544702303,0.07585470590519335,0.07213893325149509,0.08261057050256411,0.02901244113274733,0.025016520003835422,0.04514606885944921
2019-10-16,11312029893.54,14218399962.58,23007171392.6,22713914597.55,3954495008.17,10634518466.83,13905545843.22,9855168480.86,3366468775.93,6171183046.03,17282618212.0,136421513679.30998,0.166498039678289,0.1686476771301895,0.12668543066181448,0.10422403020687489,0.10193074001442448,0.07795338271813104,0.07224057419584738,0.08291969197857985,0.028987326863019174,0.02467696395631305,0.04523614259651729
2019-10-17,11404558675.33,14241683311.11,23077080902.06,22726130813.14,3991008291.1,9974849033.39,14186305972.18,9932672030.77,3407110955.06,6255885715.59,17528374118.12,136725659817.84999,0.16621701327619431,0.16878383276997147,0.1282010570764246,0.1041624763784881,0.10375745116958603,0.07295520860297029,0.07264672954588483,0.08341198492311899,0.029189899660509524,0.024919323553450428,0.045755023043401497
2019-10-18,11378841227.84,14207817337.82,23200513167.45,22470607466.06,4055959469.8,9925167882.17,13911691352.72,9856366131.47,3403481286.31,6186449808.5,17455572320.27,136052467450.41,0.1651613372925438,0.17052622126023842,0.12830029949021257,0.1044289574755315,0.10225240022045683,0.07295103182004135,0.07244533168839855,0.08363568438762416,0.029811730325863907,0.025015946789429165,0.045471059249659766
2019-10-21,11500728759.3,14232229137.87,23615318016.18,22652484500.55,4084445708.47,10192047312.34,13914707185.4,9985874523.74,3397982883.59,6176558058.18,17484202836.04,137236578921.66,0.16506156506189884,0.1720774315546043,0.12740191407730053,0.10370579950112509,0.1013921164075582,0.07426625898447978,0.0727639423993535,0.0838022111135914,0.029762077578468063,0.02476003781418729,0.045006645507432975
